state,data_year,voter_id_law,type_of_law,forms_of_id,voting_notes,pending_leg
AL,2016,1,"Non-strict photo ID, absentee voters are required to provide ID","Requires ID or specific documentation at the DMV or Sec State office, Board of Registrars office or ""mobile location""","Provisional ballot, but must return by 5pm Friday with a valid ID; two officials can sign an affadavit to vouch for you.",
AK,2016,1,"Non-strict non-photo ID, non-first time voters do not have to provide ID to vote by mail",,"Yes on a ""Questioned Ballot"".","AK HB 1 - Introduced by Democrat, it's okay"
AZ,2016,1,"Strict Non-photo, absentee does not have to provide ID",,"Provisional ballot, but must return with ID by 7pm on Election Day OR at the county elections office within five days after a general election and three business days after any other election.",
AR,2016,0,Non-strict non-photo ID ,"A voter in Arkansas may be asked to present non-photo identification at the polls, but he or she is not necessarily required to do so in order to cast a non-provisional ballot.",Yes.,
CA,2016,0,None,"First time voters or voters who failed to provide a driver's license number or SSN when registering may be required to show ID or proof of address (driver's license, student ID, utility bill, government check, bank statment, paycheck, and more)",Yes with a provisional ballot but your signature must match the signature on your registration form for ballot to count.,
CO,2016,1,Non-strict non-photo ID ,"All voters at polls must show identification (Driver's license, student/military ID, etc. Also a current (within 60 days) utility bill, government check, bank statement)",Yes with a provisional ballot.,
CT,2016,1,Non-strict non-photo ID,"All voters must show ID. Social Security card or any other preprinted form of identification which shows the elector’s name and either address, signature, or photograph; or","Yes by signing an affidavit detailing the voter’s residential address, date of birth and name.",
DE,2016,1,Non-strict non-photo ID,"All voters must show ID. Photo ID, a utility bill, a paycheck or any other government document featuring the voter's name and address.",Yes by signing an affidavit.,
DC,2016,0,None,"First time voters who registered by mail are required to show proof of residence. (Valid ID or utility bill, bank statement, paycheck.)",Yes by provisional ballot.,
FL,2016,1,Non-strict photo ID ,"All voters must present photo ID with signature. If there is no signature, another form of ID with the signature must be presented. (Driver's license, student/military ID, credit card, license to carry)",Yes by provisional ballot.,"In 2011, Florida reduced early voting period. The legislature responded in 2013 by restoring some of the early voting days, but there are still fewer early balloting opportunities today than before the 2011 cutbacks. Florida passed new restrictions on voter registration drives. With the help of the Brennan Center, the most onerous aspects of this law were enjoined by a federal court in August 2012. Finally, Gov. Scott reversed a prior executive action that had made it easier to restore voting rights to people with past criminal convictions."
